Id,Comments
@namecastle6088,썸네일 표정이 학생들의 연주가 굉장히 만족스러운 음악 선생님 같아
@user-hv7qt8xf6o,ㅋㅋㅋㅋ 외국인중에 머리때문에 들어왔는데 목소리 때문에 머물고있다는 댓글 왤케 웃기냐
@jangjun8745,ㄹㅇ 잔나비는 한국에서 인정 받는 밴드지만 이제는 해외에 진출하는 한국의 유일한 해외 진출 최고의 한국이상의 밴드가 되어야함 ㄹㅇ 같이 불러줄 떄 ㄱㅡ 때 잔나비가 잔나비 했다
@user-lw2po1tg8e,아니 long live the king 딱 부르고 합창 이어질 때 드럼치는 사람 보여준거 신의 한 수다 진짜.. 뭔가 타이밍이랑 드럼 치는 자세가 너무 완벽함 되게 멋있어
@adrianamuller2949,"Came for the hair, stayed for the voice"
@user-wj7ov8ex6h,와 잔나비가 정말 밑바닥일때부터 버스킹하면서 불렀던 곡인데 드디어 빛을 보네
@hibye3258,이건 콜플의 비바라비다 커버가 아니고 잔나비만의 완전한 재해석과 재탄생 참 최정훈 대단한 가수네요
@Hihello0101,"주기적으로 봐줘야 하는 레전드 영상,, 보컬 기타 베이스 드럼 다 완벽하고 편곡도 완벽하고 객석 반응도 완벽... 배철수 선생님 먼가 감동에 찬 것 같은 눈빛까지... 결론: 앓다죽을 체저눈 사랑해,,"
@user-ri2jp6dc4b,양복입은 로커는 왜 이토록 섹시한가...
@rakio6248,잔잔하게 목소리로만 조지는 밴드인줄 알았는데 목소리 매력뿐만 아니라 편곡에 파워 보컬까지...  개쩌는 애들이잖어..??? 지렸다 진짜
@user-mn4nw3hb1i,잔나비가 훗날 전설이 될 수도 있을 것 같다
@user-se8zy5rv8k,"주기적으로 봐줘야 하는 영상  잔나비, 슈퍼밴드 viva la vida"
@user-te2iu6sy9w,나는 올해알았던 가수중에 잔나비가 제일 신선했다....
@hey_imissu,커버가 워낙 많았던 곡이라 잔나비 팬이면서도 기대 안하고 봤는데.....미쳤네.........사실 가사 뜻도 모르고 신나게 원곡 좋아라 듣기만 했는데 어떤 가사인지도 다시 보게되고 편곡 자체가 가사가 어떤 스토리를 말하는지 그대로 들려주는거같음.....대박..................앞으로 몇번을 봐야 여운이 가실려나
@user-fz3zq6zu6s,잔나비 버전은 숨어지내던 폐위당한 왕이 술이랑 분위기에 취해서  자신에 대해서 물어보는 사람들한테 자기 얘기해주는 것 같다 초반엔 다 부질 없다는 듯 부르지만 갈수록 젊은 시절의 야망이 아직 남아있음을 보여주는 느낌임
@cheryise8156,"해외에서 태어나 한국 가 본 거라곤  돌 때 딱 한번뿐이어서  한국말도 잘 못하는 대학생 딸내미 땜에  잔나비를 알게 되고  정신줄 놓음. 독특한 음색땜이라고만 하기엔  너무 끊기 어려운 중독성 있는 매력의 원인이 뭘까...하던 중 이 노래 듣고 깨달았음.   어떤 노래든 따뜻한 마음으로, 시선으로  부르는 거.. 감정으로가 아닌 영혼으로 노래를 하는 사람들이네요."
@hkj7960,3:42 여기는 진짜 카메라 앵글도 그렇고 노래 구성도 그렇고 진짜 언제봐도 개소름이네;; 잔나비 이 영상으로 처음봤는데 이 영상이 개레전드였다
@user-gi6sd8bv2q,크리스마스이브에 이걸 나혼자 보고있는 내가 레전드
@user-px2mf2iy6f,"진짜 곡 자체를 너무 연기 잘한다. 실각하고 남은 여생 찬란한 과거만 향수하며 초라하게 늙어버린 왕을 1인칭으로 표현하는데, 가사 하나하나 부를 때마다 옛날 이야기 듣는 것 같음. 특히 후렴부분에 예루살렘 종소리와 로마 성가대의 노래, 거울같은 방패와 칼은 진짜로 뭔가 아련한 회상씬같아. 화려한 옛날을 돌아보는 회상씬. 가사도 어떻게 저렇게 썼냐 진짜 콜드플레이 .."
@user-zq2jt9bh9q,잔나비가 진짜 음악에 있어선 천재인거 같음 진짜 신이 주신 재능.. 더 떠야됨
@a01063820284,"최정훈의 목소리 , 특히 가성은 진짜 악기다 악기. 어떻게 저렇게 맑고 청아한 목소리가 있을까"
@xlr8229,원곡이 웅장한 서사시를 그려냈다면 잔나비의 노래는 약간 취한 낯선이에게 듣는 옛날 이야기 같다...
@user-kx1oe6fg4d,몇번을 연속으로 봐도 벅찬 감정이 다물어지지 않음... 내가 군 입대 전 이놈들을 왜 좋아했는지 이제 다시 선명해짐
@miibokk,왜 잔나비 잔나비 하는지 알겠습니다.. 목소리만 좋은게 아니라 음악적 능력이 진짜… 너무 좋으시네요… ㅠ ㅠ ㅠ ㅠ ㅠ
@PomPom_Pudding,(+개인적으로) 원곡은 뭔가 영웅 소설 마지막 장 읽는 느낌이었다면 잔나비는 한 때 왕이었던 할아버지가 손자한테 나때는 말이야... 얘기해주는 느낌이다
@user-nc6cd6re9b,비긴어게인 새로운 시즌에 나와줬으면...
